סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
65        ,מגדל                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,2071      ,214       ,440       ,747       ,204       ,233       ,233
66        ,מרחביה )קיבוץ(           ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1334      ,91        ,322       ,406       ,197       ,100       ,218
67        ,אור הנר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,950       ,105       ,204       ,354       ,104       ,67        ,116
69        ,ניר עוז                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,486       ,58        ,94        ,153       ,51        ,30        ,100
70        ,אשדוד                    ,61        ,אשקלון                   ,69        ,אשדוד                    ,0         ,                         ,254950    ,24297     ,51263     ,84828     ,28734     ,23521     ,42307
71        ,אשבול                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,667       ,63        ,193       ,229       ,79        ,39        ,64
72        ,גן שמואל                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1226      ,112       ,197       ,377       ,154       ,115       ,271
74        ,עין הוד                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,692       ,44        ,138       ,212       ,113       ,77        ,108
76        ,כפר גלעדי                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,761       ,51        ,129       ,240       ,120       ,47        ,174
77        ,איילת השחר               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1144      ,74        ,243       ,351       ,161       ,87        ,228
78        ,קרית ענבים               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,408       ,30        ,65        ,125       ,70        ,42        ,76
79        ,דגניה ב'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,813       ,58        ,175       ,240       ,121       ,62        ,157
80        ,נהלל                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1114      ,124       ,232       ,400       ,98        ,101       ,159
82        ,עין חרוד )מאוחד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,944       ,64        ,180       ,315       ,107       ,72        ,206
84        ,תל יוסף                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,565       ,52        ,144       ,163       ,60        ,38        ,108
85        ,כפר יחזקאל               ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1127      ,115       ,296       ,392       ,127       ,60        ,137
86        ,גבע                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,724       ,56        ,120       ,251       ,85        ,73        ,139
88        ,כרם בן שמן               ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,80        ,9         ,17        ,20        ,8         ,5         ,21
89        ,עין חרוד )איחוד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,747       ,56        ,131       ,226       ,89        ,70        ,175
90        ,חפצי-בה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,862       ,74        ,182       ,278       ,96        ,74        ,158
92        ,גיניגר                   ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,800       ,65        ,163       ,254       ,93        ,87        ,138
94        ,בלפוריה                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,610       ,61        ,139       ,218       ,68        ,42        ,82
95        ,בית אלפא                 ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1153      ,84        ,214       ,399       ,109       ,97        ,250
96        ,יגור                     ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1879      ,163       ,313       ,717       ,224       ,125       ,337
97        ,מרחביה )מושב(            ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,776       ,48        ,156       ,274       ,97        ,88        ,113
98        ,כפר מל"ל                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,379       ,37        ,67        ,111       ,48        ,34        ,82
99        ,מצפה רמון                ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,5569      ,650       ,1150      ,2181      ,533       ,425       ,630
102       ,מאיר שפיה                ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,165       ,13        ,38        ,63        ,12        ,18        ,21
103       ,תל עדשים                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1332      ,111       ,384       ,420       ,216       ,102       ,99
104       ,מזרע                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,972       ,102       ,149       ,309       ,100       ,96        ,216
106       ,כפר גדעון                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,325       ,44        ,100       ,108       ,19        ,18        ,36
107       ,כפר סילבר                ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,143       ,11        ,28        ,68        ,16        ,14        ,6
112       ,כפר חסידים א'            ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,806       ,85        ,201       ,234       ,88        ,59        ,139
113       ,אדירים                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,329       ,30        ,71        ,109       ,49        ,30        ,40
115       ,חופית                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1001      ,62        ,196       ,293       ,161       ,89        ,200
122       ,רמת ישי                  ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,8025      ,667       ,1620      ,2808      ,989       ,812       ,1129
126       ,שריד                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1161      ,75        ,269       ,331       ,144       ,78        ,264
127       ,רמת רחל                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,557       ,65        ,111       ,192       ,64        ,55        ,70
128       ,גת רימון                 ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,289       ,33        ,51        ,95        ,32        ,24        ,54
130       ,משמר העמק                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1412      ,125       ,211       ,488       ,191       ,123       ,274
132       ,כפר ברוך                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,647       ,85        ,192       ,202       ,70        ,22        ,76
133       ,גבת                      ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1015      ,97        ,223       ,298       ,127       ,69        ,201
134       ,יפעת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1256      ,93        ,307       ,374       ,191       ,75        ,216
135       ,רמת דוד                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,645       ,71        ,166       ,207       ,74        ,31        ,96
139       ,עין שמר                  ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,804       ,59        ,131       ,271       ,87        ,59        ,197
140       ,כפר יהושע                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1240      ,92        ,319       ,388       ,193       ,100       ,148
141       ,ברק                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,403       ,36        ,62        ,146       ,44        ,41        ,74
142       ,שדה יעקב                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1112      ,136       ,343       ,352       ,113       ,56        ,112
143       ,בית זרע                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,791       ,50        ,126       ,289       ,79        ,62        ,185
144       ,גן שלמה                  ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,626       ,73        ,140       ,192       ,74        ,47        ,100
145       ,גדיש                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,390       ,39        ,66        ,128       ,56        ,51        ,50
146       ,דבורה                    ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,308       ,25        ,65        ,88        ,36        ,30        ,64
147       ,גבעת ברנר                ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,2775      ,198       ,620       ,825       ,456       ,195       ,481
154       ,תל מונד                  ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14241     ,1094      ,3669      ,4694      ,2374      ,1164      ,1246
155       ,באר טוביה                ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1282      ,107       ,363       ,404       ,175       ,80        ,153
156       ,עיינות                   ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,176       ,16        ,25        ,111       ,12        ,4         ,8
